wavelength (nm);5_8_2023_1;5_8_2023_2;22_05_2023_1;22_05_2023_2;22_05_2023_3
368;26.67400;20.87800;6.13000;14.47200;27.74400
368.5;26.48800;20.58100;5.92200;14.35000;27.39500
369;26.07800;20.16700;5.72700;14.16100;26.96800
369.5;25.61500;19.80700;5.60800;13.93300;26.48900
370;25.17400;19.39100;5.46800;13.68900;26.00300
370.5;24.72600;18.94000;5.37400;13.46100;25.47400
371;24.45800;18.63500;5.37200;13.23000;25.00700
371.5;24.17400;18.33900;5.33200;12.96700;24.66100
372;23.80300;17.95200;5.25500;12.78600;24.40300
372.5;23.55800;17.61000;5.21000;12.53800;24.03500
373;23.28900;17.34000;4.99700;12.36300;23.81300
373.5;23.14600;17.14500;4.83300;12.16400;23.39200
374;22.85500;16.87900;4.70300;11.89300;22.97000
374.5;22.45700;16.53400;4.65400;11.64200;22.46700
375;22.06600;16.15100;4.54200;11.41300;21.93700
375.5;21.72200;15.76800;4.49500;11.24400;21.46500
376;21.34600;15.38900;4.50100;11.03500;21.06300
376.5;21.05400;15.08000;4.46100;10.86200;20.77100
377;20.78900;14.75600;4.38700;10.81900;20.50700
377.5;20.66000;14.50300;4.40100;10.66000;20.21000
378;20.48800;14.34500;4.26600;10.54400;20.12800
378.5;20.28700;14.16400;4.16900;10.39300;19.78000
379;20.06800;13.97700;4.08100;10.20500;19.50700
379.5;19.88500;13.85700;3.98000;10.05000;19.17600
380;19.82200;13.77600;3.82000;9.88400;18.88200
380.5;19.62800;13.65700;3.65600;9.65800;18.45000
381;19.29800;13.40600;3.49500;9.38800;17.99800
381.5;18.92700;13.20800;3.39400;9.14100;17.50100
382;18.51100;12.87000;3.27100;9.01000;17.05100
382.5;18.08500;12.39100;3.24200;8.78900;16.63200
383;17.69600;11.98400;3.19700;8.53100;16.12600
383.5;17.30700;11.57700;3.17500;8.37800;15.73900
384;17.01800;11.23700;3.17500;8.15700;15.43400
384.5;16.95700;11.05400;3.06600;8.04900;15.28900
385;16.94200;10.93800;2.91400;7.95700;15.12800
385.5;16.88100;10.84600;2.75800;7.84600;14.88700
386;16.79800;10.63500;2.63400;7.70800;14.63600
386.5;16.50200;10.36800;2.55600;7.60900;14.35900
387;16.15800;10.00900;2.41200;7.57600;14.15100
387.5;15.80400;9.60000;2.30400;7.53100;13.95300
388;15.49300;9.29200;2.23700;7.38700;13.62200
